id,database_key,optimization_key,query_key,iteration,start_time,end_time,execution_time,client_energy_consumed,server_energy_consumed,,,
15,postgres,base,1,1,1719162925082,1719162927240,2158,0,5582783.483305,,,
37,postgres,base,1,10,1719162976358,1719162978554,2196,1338.930464,5673207.963528,,0,SUM()
40,postgres,base,1,11,1719162983656,1719162985139,1483,485.046358,3835984.191074,,0,704.23588
42,postgres,base,1,12,1719162987858,1719162989342,1484,0,5821987.920592,,0,0
45,postgres,base,1,13,1719162994145,1719162995631,1486,0,5786811.246929,,0,0
47,postgres,base,1,14,1719163000436,1719163001926,1490,478.548173,5784768.934899,,0,495.983389
50,postgres,base,1,15,1719163006736,1719163008229,1493,0,5912997.147599,,0,2156.299003
52,postgres,base,1,16,1719163013022,1719163014512,1490,0,5815496.996944,,393.695364,0
55,postgres,base,1,17,1719163019314,1719163020802,1488,0,5838837.270797,,0,574.374172
57,postgres,base,1,18,1719163025616,1719163027108,1492,464.029801,6423324.266044,,0,1032.306667
60,postgres,base,1,19,1719163031900,1719163033390,1490,0,6090775.026511,,0,588.376667
17,postgres,base,1,2,1719162930431,1719162932624,2193,3415.933555,5553684.602047,,0,0
62,postgres,base,1,20,1719163036131,1719163037634,1503,0,5773111.512195,,0,0
64,postgres,base,1,21,1719163042420,1719163043910,1490,0,5969803.669182,,0,933.777409
66,postgres,base,1,22,1719163046633,1719163048142,1509,0,5710639.017514,,0,549.516556
69,postgres,base,1,23,1719163052917,1719163054408,1491,0,6007924.671379,,0,0
71,postgres,base,1,24,1719163057117,1719163058607,1490,995.415282,5889536.698549,,0,743.571429
74,postgres,base,1,25,1719163063412,1719163064894,1482,1299.172757,5874541.167942,,432.701987,0
76,postgres,base,1,26,1719163067617,1719163069108,1491,0,5792854.018062,,0,491.907591
78,postgres,base,1,27,1719163071817,1719163073307,1490,520.116279,5936872.051376,,0,0
80,postgres,base,1,28,1719163078118,1719163079606,1488,49221.186047,5905296.640658,,0,701.395349
83,postgres,base,1,29,1719163084409,1719163085896,1487,505.056291,5812205.396168,,0,925.259136
20,postgres,base,1,3,1719162935656,1719162937851,2195,1487.83,5407979.996411,,1059.973333,0
85,postgres,base,1,30,1719163088614,1719163090101,1487,493.960133,5957722.287798,,0,718.225914
22,postgres,base,1,4,1719162940874,1719162943059,2185,988.366667,5701815.924044,,0,0
25,postgres,base,1,5,1719162946081,1719162948268,2187,0,5406249.778147,,0,0
27,postgres,base,1,6,1719162953400,1719162955581,2181,0,5585363.433528,,0,573.445183
30,postgres,base,1,7,1719162958622,1719162960800,2178,493.331126,5623663.177506,,0,0
32,postgres,base,1,8,1719162963837,1719162966018,2181,0,5608232.984653,,0,0
35,postgres,base,1,9,1719162971141,1719162973321,2180,496.970199,5536100.858256,,0,0
525,postgres,base,10,1,1719164072476,1719164072980,504,0,1420254.17388,,0,991.616667
542,postgres,base,10,10,1719164105372,1719164105866,494,0,1492959.122517,,628.790228,870.020786571429
543,postgres,base,10,11,1719164108551,1719164109045,494,0,1492641.715121,,,
546,postgres,base,10,12,1719164113834,1719164114331,497,2220.701987,1505784.591611,,,
548,postgres,base,10,13,1719164119111,1719164119609,498,0,1510721.586507,,,
550,postgres,base,10,14,1719164122293,1719164122790,497,4949.714286,1532142.149387,,,
551,postgres,base,10,15,1719164125485,1719164125976,491,0,1506462.57,,,
554,postgres,base,10,16,1719164130764,1719164131255,491,0,1504983.861204,,,
556,postgres,base,10,17,1719164133950,1719164134446,496,0,1501322.306667,,,
558,postgres,base,10,18,1719164137141,1719164137636,495,645.92053,1466269.398812,,,
560,postgres,base,10,19,1719164142429,1719164142922,493,524.049669,1498200.701226,,,
527,postgres,base,10,2,1719164075670,1719164076168,498,0,1525166.070875,,,
562,postgres,base,10,20,1719164145623,1719164146119,496,0,1462546.93398,,,
564,postgres,base,10,21,1719164148803,1719164149297,494,0,1501321.062458,,,
566,postgres,base,10,22,1719164154083,1719164154577,494,161052.883721,1541129.385756,,,
568,postgres,base,10,23,1719164157287,1719164157784,497,0,1483406.425847,,,
570,postgres,base,10,24,1719164160481,1719164160976,495,0,1525618.299336,,,
572,postgres,base,10,25,1719164165765,1719164166263,498,0,1490493.006667,,,
574,postgres,base,10,26,1719164168953,1719164169449,496,0,1486060.536861,,,
575,postgres,base,10,27,1719164172158,1719164172653,495,0,1456800.768638,,,
578,postgres,base,10,28,1719164177434,1719164177930,496,672.398671,1491439.466094,,,
580,postgres,base,10,29,1719164182710,1719164183205,495,501.215232,1504033.419549,,,
528,postgres,base,10,3,1719164078853,1719164079348,495,0,1512724.564252,,,
582,postgres,base,10,30,1719164187982,1719164188477,495,0,1497087.9,,,
530,postgres,base,10,4,1719164082042,1719164082537,495,6306.946667,1494811.023654,,,
532,postgres,base,10,5,1719164087324,1719164087820,496,0,1497968.574062,,,
534,postgres,base,10,6,1719164090511,1719164091005,494,0,1501229.981754,,,
536,postgres,base,10,7,1719164093697,1719164094193,496,0,1507222.195658,,,
538,postgres,base,10,8,1719164098978,1719164099473,495,0,1506616.236667,,,
540,postgres,base,10,9,1719164102169,1719164102663,494,0,1519082.742075,,,
584,postgres,base,11,1,1719164191183,1719164191278,95,0,1514727.123478,,,
608,postgres,base,11,10,1719164230397,1719164230491,94,0,116018.611296,,,
611,postgres,base,11,11,1719164233579,1719164233675,96,0,114043.60396,,,
614,postgres,base,11,12,1719164238856,1719164238950,94,0,118405.644518,,,
617,postgres,base,11,13,1719164244134,1719164244229,95,0,116358.377483,,,
620,postgres,base,11,14,1719164249406,1719164249499,93,0,130494.866667,,,
622,postgres,base,11,15,1719164254686,1719164254780,94,0,114823.32,,,
626,postgres,base,11,16,1719164259962,1719164260057,95,815.483444,132752.140468,,,
